Designator,Mid X,Mid Y,Rotation,Layer
C1,210.2,-70.6,0.0,top
C2,201.0,-73.2,0.0,top
D4,188.4,-84.4,0.0,top
D5,192.0,-76.2,270.0,bottom
D6,203.4,-76.2,90.0,bottom
D7,197.6,-82.4,0.0,bottom
J2,210.9396,-84.29405,0.0,top
J7,195.6,-92.838,0.0,top
J8,210.2125,-67.35,180.0,top
J9,194.6,-69.185,90.0,top
R13,190.8,-80.6,270.0,bottom
R14,188.2,-80.6,270.0,bottom
R15,204.0,-80.0,270.0,bottom
R16,206.6,-80.0,270.0,bottom
R17,201.4,-83.6,270.0,bottom
R19,194.0,-83.6,270.0,bottom
U2,197.6,-77.2,0.0,top
