Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D14","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",209.047500,-140.225000,90.000000,top
"D110","D_TVS","D_SOD-123F",39.750000,-162.250000,-90.000000,top
"D111","D","D_SOD-128",44.500000,-161.000000,0.000000,top
"J1","Conn_01x05","JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical",52.250000,-90.000000,0.000000,top
"J2","Conn_01x05","JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical",52.250000,-99.700000,0.000000,top
"J3","Conn_01x05","JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical",52.250000,-109.700000,0.000000,top
"J4","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",206.422500,-162.675000,0.000000,top
"J5","Conn_01x05","JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical",52.250000,-119.700000,0.000000,top
"J6","Conn_01x05","JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical",52.250000,-129.500000,0.000000,top
"J7","Conn_01x05","JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical",52.250000,-139.500000,0.000000,top
"J8","Conn_01x05","JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical",52.250000,-149.500000,0.000000,top
"J9","Power In","AMASS_XT60-M_1x02_P7.20mm_Vertical",205.150000,-73.500000,0.000000,top
"J10","Homing","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",119.250000,-103.250000,0.000000,top
"J11","Homing","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",119.250000,-118.500000,0.000000,top
"J12","Homing","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",119.250000,-133.500000,0.000000,top
"J13","Homing","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",119.250000,-148.700000,0.000000,top
"J14","Homing","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",119.250000,-111.000000,0.000000,top
"J15","Homing","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",119.250000,-126.000000,0.000000,top
"J16","Homing","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",119.250000,-141.000000,0.000000,top
"J17","Conn_01x08","JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical",171.750000,-80.000000,0.000000,top
"J18","Conn_01x08","JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical",171.500000,-70.625000,0.000000,top
"J19","Conn_01x08","JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical",134.500000,-70.500000,0.000000,top
"J20","Conn_01x08","JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical",96.500000,-80.200000,0.000000,top
"J21","Conn_01x08","JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical",96.500000,-70.500000,0.000000,top
"J22","Conn_01x03","JST_XA_B03B-XASK-1-A_1x03_P2.50mm_Vertical",107.000000,-111.750000,0.000000,top
"J23","Conn_01x03","JST_XA_B03B-XASK-1-A_1x03_P2.50mm_Vertical",107.000000,-101.750000,0.000000,top
"J24","Conn_01x08","JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical",65.500000,-80.200000,0.000000,top
"J25","Conn_01x03","JST_XA_B03B-XASK-1-A_1x03_P2.50mm_Vertical",107.000000,-121.750000,0.000000,top
"J26","Conn_01x03","JST_XA_B03B-XASK-1-A_1x03_P2.50mm_Vertical",107.000000,-131.750000,0.000000,top
"J27","Conn_01x08","JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical",65.500000,-70.500000,0.000000,top
"J28","RJCSE538001","AMPHENOL_RJCSE538001",31.750000,-107.200000,-90.000000,top
"J32","RJCSE538001","AMPHENOL_RJCSE538001",31.750000,-86.200000,-90.000000,top
"J33","RJCSE538001","AMPHENOL_RJCSE538001",31.825000,-128.100000,-90.000000,top
"J34","RJCSE538001","AMPHENOL_RJCSE538001",31.825000,-148.850000,-90.000000,top
"L1","8.2uH","L_7.3x7.3_H3.5",205.200000,-112.500000,0.000000,top
"L2","8.2uH","L_7.3x7.3_H3.5",217.500000,-112.500000,0.000000,top
"R1","200k","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",74.325000,-117.725000,90.000000,top
"R2","200k","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",74.537500,-137.500000,90.000000,top
