"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC"
"C3,C4","1uF","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf","PCM_JLCPCB:C_0402","2","","C52923"
"D4","H5VHD3BC","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2401261525_hongjiacheng-H5VHD3BC_C20615804.pdf","PCM_JLCPCB:D_SOD-323","1","","C20615804"
"D5,D6,D7","BAT54SDW","https://www.diodes.com/assets/Datasheets/BAT54TW_ADW_CDW_SDW_BRW.pdf","Package_TO_SOT_SMD:SOT-363_SC-70-6","3","","C77323"
"J2","26605030","https://www.molex.com/en-us/products/part-detail-pdf/26605030?display=pdf","CONN_SDA-41792_M450_03_MOL","1","","C587093"
"J7","ethernet_54602-908LF","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/gs-12-083.pdf","splitter_parts:AMPHENOL_54602-908LF","1","","C2847314"
"J8","motor_connector_292206-8","","splitter_parts:TE_292206-8","1","","C591662"
"J9","Conn_01x05","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","1","",""
"R13,R14,R15,R16,R17,R19","120Ω","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1200T5E_C17437.pdf","PCM_JLCPCB:R_0805","6","","C17437"
"U2","74ACT244MTCX","","splitter_parts:line_driver_SOP65P640X120-20N","1","","C5496"
